Name,Prefecture,Registered Date,Rating,Review Count,Weighted Score
Bánh mì nguyễn,北海道,2024-06-19,5.0,5,4.059458942687666
banh mi cam on,北海道,2024-06-19,4.7,25,3.8794884874741937
バインミー サイゴンフレッシュ 本店,北海道,2024-06-19,4.5,145,3.9096666308262042
サイゴンフレッシュ ポールタウン店,北海道,2024-06-19,4.6,99,3.7939062688778806
ベトナムゴハン チリン堂,北海道,2024-06-19,4.4,149,3.8936845732157837
ホア セン レストラン,北海道,2024-06-19,4.6,184,4.114488102891349
Deli & Bread VIE DE FRANCE 青森店,青森県,2024-06-19,4.0,41,3.763434996109786
MACURE HOUSE JR新青森駅店,青森県,2024-06-19,4.1,41,3.7697360160081557
カマンベーグル,青森県,2024-06-19,4.1,38,3.7834310787980425
A-FACTORY(エーファクトリー),青森県,2024-06-19,4.2,1185,8.607510455793678
イトーヨーカドー 青森店,青森県,2024-06-19,3.7,1872,9.799028497492964
BANH MI 74,兵庫県,2024-06-19,4.8,91,3.813844827187501
MiStore Số 7 Tôn Thất Tùng,兵庫県,2024-06-19,4.0,287,4.3049200861375825
Conservo - Japanese Breads & Café,岩手県,2024-06-19,4.3,310,4.608825900862003
山崎パン,兵庫県,2024-06-19,4.3,129,3.800102374609728
Ushi Mania - Japanese Aging Beef & Bar (13 Lý Tự Trọng),岩手県,2024-06-19,4.4,198,4.099200408786859
本格ベトナム料理 PHO VIET NAM,宮城県,2024-06-19,4.1,156,3.821131272011644
ハローベトナム,宮城県,2024-06-19,4.0,95,3.6744417545958665
バインミー３２９ Bánh mì 329,山形県,2024-06-19,4.9,47,3.806779288897786
BB Vinmart siêu thị hàng việt,宮城県,2024-06-19,4.0,4,4.070000471003978
maison cœlacanthe(メゾン シーラカンス),宮城県,2024-06-19,4.0,270,4.2283071903108755
Minishop viet nam'cua hang đồ ăn vn',宮城県,2024-06-19,4.0,9,4.006339182728217
Cho Lon（チョロン）,宮城県,2024-06-19,4.0,228,4.0475446843465
ベトナム料理 LANG VIET QUAN,宮城県,2024-06-19,4.2,25,3.8635549947435446
ザイトゥーン,宮城県,2024-06-19,4.6,136,3.905194532132735
ベーグルＵ,宮城県,2024-06-19,4.3,182,3.9881600048021713
UP!BAKER 定禅寺本店,宮城県,2024-06-19,4.1,250,4.194232657346342
柴田パン本店,宮城県,2024-06-19,3.8,366,4.521507716371522
xuân shop sendai,宮城県,2024-06-19,4.5,13,3.968542801279501
ペンギンベーカリー仙台長町店,宮城県,2024-06-19,3.5,114,3.578254493790139
カスクルート,宮城県,2024-06-19,4.2,66,3.7123626699895844
オリジナルラーメンの店中国菜館まんみＴＨＥＭＡＬＬ仙台長町店,宮城県,2024-06-19,3.5,111,3.5775998633089854
三井アウトレットパーク 仙台港,宮城県,2024-06-19,3.8,8237,22.118547799263684
フラットホワイトコーヒーファクトリー IGOONE荒井店,宮城県,2024-06-19,4.2,321,4.5984329064934615
kazunori ikeda individuel 南町通店,宮城県,2024-06-19,4.2,736,6.672858802243274
萬み高橋,宮城県,2024-06-19,4.1,33,3.809434846584942
komachi こまち,秋田県,2024-06-19,4.0,2,4.098945064396887
無限堂 大町本店,秋田県,2024-06-19,4.0,587,5.726464770456789
料亭 濱乃家,秋田県,2024-06-19,4.2,112,3.735851750931773
酒盃,秋田県,2024-06-19,4.4,186,4.044690711751519
ハンズバーガー山形北店,山形県,2024-06-19,4.5,468,5.638346821261408
HÀO NGUYÊN(ハオ グエン),福島県,2024-06-19,4.4,96,3.750142805568071
BÁNH MỲ-TRÀ SỮA-KARAOKE,茨城県,2024-06-19,4.8,28,3.8659502180545218
Doctor Pho Amakubo,茨城県,2024-06-19,4.6,47,3.7840768160173353
ベトナム料理アオババ水戸店,茨城県,2024-06-19,4.2,163,3.878229354159151
Sapa Restaurant ベトナム 料理,茨城県,2024-06-19,4.2,119,3.749915652307586
123 Dzô (モッハイバーヨー),茨城県,2024-06-19,4.5,270,4.518012245903719
タイ・ベトナム屋台 YUMMY TOMMY,茨城県,2024-06-19,4.5,70,3.7464628591278153
Khánh Diễm(カイン ディエム),茨城県,2024-06-19,4.3,20,3.9036083138595283
KING PHO キングフォー,茨城県,2024-06-19,4.3,128,3.7973364585112725
chợ việt ibaraki,茨城県,2024-06-19,4.0,15,3.9421436005936283
VIETNAM SHOP,茨城県,2024-06-19,3.8,52,3.7043195940378304
ドクター フォー,茨城県,2024-06-19,4.3,221,4.161608581650301
ハノイマチレストラン,茨城県,2024-06-19,4.5,67,3.7472789034270004
ベトナム料理 チャン チャン CHANG CHANG,茨城県,2024-06-19,4.6,36,3.8197429497124524
Xin Chào Việt Nam Utsunomiya シンチャオ ベトナム,栃木県,2024-06-19,4.7,77,3.7762469190921415
Xuân Shop Việt Nhật Utsunomiya Tochigi,栃木県,2024-06-19,4.3,13,3.966036028690406
Bánh Mì Xin Chào,群馬県,2024-06-19,4.7,20,3.9129099030601937
ベトナムサンドイッチ DZO DZO ヨーヨー お持ち帰り専門店,群馬県,2024-06-19,4.5,10,3.9990935001261962
Hà Nội Quán,群馬県,2024-06-19,4.4,73,3.7330419387079794
KINH BAC QUAN,群馬県,2024-06-19,4.3,57,3.736796002451185
ベトナム料理タンマイ,群馬県,2024-06-19,4.1,143,3.7826259287229917
Quán bánh mì vn,群馬県,2024-06-19,3.0,4,4.067779765155095
ベトナム料理 デリイチ,群馬県,2024-06-19,4.1,154,3.814908545579681
Minh Nhật quán ミンニャット,群馬県,2024-06-19,4.4,34,3.818549965378486
Cake - Bếp Mẹ Miu (パン屋),群馬県,2024-06-19,5.0,9,4.013678788484822
ベトナム料理タンマイ古市町店,群馬県,2024-06-19,4.1,54,3.7247360578212487
フォー コー トウー(Phở Cô Tư),群馬県,2024-06-19,4.6,43,3.7949388213256774
バインミー☆サンドイッチ,島根県,2024-06-19,4.3,620,6.235615158985917
THIEN BAO QUAN 天宝店,群馬県,2024-06-19,4.2,77,3.704598230003665
Cafe Maemi,群馬県,2024-06-19,4.6,48,3.7817074094615872
Vietnam store,群馬県,2024-06-19,4.0,1,4.114455176101298
フォーの店 Hari Hari,群馬県,2024-06-19,4.2,88,3.706274092202989
Ngan Bui Quán,群馬県,2024-06-19,3.7,15,3.9375208330077456
山のフモトのパン食堂 Cou屋,群馬県,2024-06-19,4.4,147,3.886440902511658
THAO’S BANH MI,島根県,2024-06-19,4.4,388,5.103606969949771
Anh Yến Quán,群馬県,2024-06-19,3.0,2,4.098153225466058
Bánh Mì Xin Chào,埼玉県,2024-06-19,4.3,52,3.747578477989004
ベトナムレストランフォン リ,埼玉県,2024-06-19,4.2,171,3.907243471474562
バインミー太陽 BÁNH MÌ TAIYO,埼玉県,2024-06-19,4.4,70,3.7337544937602085
Banh mi ngon ngon warabi,埼玉県,2024-06-19,4.4,33,3.8234962186726493
ハローサイゴン 埼玉店,埼玉県,2024-06-19,4.5,49,3.7714726103940004
バインミーバーバー川越店 Bánh Mì Bà Ba kawagoe,埼玉県,2024-06-19,4.8,82,3.7972719265344304
ベトナムレストランNGON-2号店,埼玉県,2024-06-19,4.4,105,3.7658902052375387
Con Bò Cười,埼玉県,2024-06-19,4.3,43,3.7747833534059656
ベトナム食材専門店 Chợ Phiên Việt Nam,埼玉県,2024-06-19,4.8,20,3.91523530036036
Bui tapioca warabi。Cafe & Trà sữa Việt。ベトナム タピオカ・カフェ・バインミー・ フォー・ブンチャー・喫茶店,埼玉県,2024-06-19,4.5,43,3.788220332019107
Hado Coffee - ベトナム料理,埼玉県,2024-06-19,4.6,76,3.761277072117011
ベーグルショップ vivant,埼玉県,2024-06-19,4.1,216,4.045358058833717
ブンボーフェ・ジャ・チュエン,埼玉県,2024-06-19,4.3,99,3.735395149402881
マコトバインミー,埼玉県,2024-06-19,4.8,46,3.8012890431846342
BAO UYEN,埼玉県,2024-06-19,3.5,13,3.9560089383340262
NEWSTAR,埼玉県,2024-06-19,3.0,4,4.067779765155095
麻凛堂,埼玉県,2024-06-19,4.2,116,3.743626486600306
Chan Bakery,埼玉県,2024-06-19,4.8,37,3.826678927438238
Min Min Milk Tea -Food,千葉県,2024-06-19,4.5,47,3.776509325057185
Tũn jp (Thực Phẩm Xịn Sò),千葉県,2024-06-19,5.0,2,4.099736903327718
バインミーモチ,千葉県,2024-06-19,4.3,43,3.7747833534059656
nicoバインミー,東京都,2024-06-19,4.3,109,3.7523730576532106
バインミーシンチャオ,島根県,2024-06-19,4.2,444,5.230623063561941
バインミー シンチャオ 浅草店,東京都,2024-06-19,4.3,394,5.054818727067922
バインミー☆サンドイッチ 水道橋東口店,東京都,2024-06-19,4.2,265,4.3199031016493095
BANH MI NGON NGON TAKADANOBABA,東京都,2024-06-19,4.1,269,4.2815860390824625
BANH MI NGON NGON OKUBO(バインミーゴンゴン 大久保店),東京都,2024-06-19,3.9,163,3.7746268837799457
スタンドバインミー,東京都,2024-06-19,4.3,259,4.346615693928645
Bánh Mì Xin Chào,東京都,2024-06-19,3.9,141,3.7182907546235953
バインミー☆サンドイッチ,東京都,2024-06-19,4.5,13,3.968542801279501
バインミーサンドイッチ神保町店,東京都,2024-06-19,4.5,51,3.76695359304368
BANH MI XIN CHAO NIHONBASHI バインミーシンチャオ日本橋店,東京都,2024-06-19,3.9,36,3.7827767645331045
MIKA バインミー オフィス（Mika bánh mì）,東京都,2024-06-19,4.5,55,3.7593910101542845
バインミーバイミー,東京都,2024-06-19,4.8,52,3.790837361940177
バインミーバーバー下北沢店,東京都,2024-06-19,4.6,380,5.21815890707769
ベトナムサンドイッチバインミー中野店,東京都,2024-06-19,4.5,26,3.866778693594584
EBISU BANH MI BAKERY,島根県,2024-06-19,4.4,405,5.197447624919321
バインミーシンチャオ 中野店,東京都,2024-06-19,4.3,31,3.829633048850917
BANH MI XIN CHAO KAMATA バインミーシンチャオ蒲田店,東京都,2024-06-19,3.9,77,3.661609016550579
ハノイ町 バインミー・フォー 蔵前店,東京都,2024-06-19,4.6,184,4.114488102891349
ベトナムバインミー三ツ沢下町店BÁNH MÌ VIỆT NAM,神奈川県,2024-06-19,4.4,46,3.771874685498979
BÁNH MÌ VIỆT,神奈川県,2024-06-19,4.4,131,3.832814867311339
ＢＡＮＨ　ＭＩ　ＰＨＯ,神奈川県,2024-06-19,0.0,0,0.0
ベトナム料理Banh Mi MinhMinh バインミー ミンミン,神奈川県,2024-06-19,3.8,30,3.8147771430791675
シクロバインミー(CYCLO banh mi)CIAL横浜店,神奈川県,2024-06-19,3.2,65,3.5979722616061425
BANH MI CAMちゃん,神奈川県,2024-06-19,4.5,32,3.8331151017594975
タン・ハー,神奈川県,2024-06-19,4.4,583,6.160917501835104
Bánh mì Minh Minh,神奈川県,2024-06-19,4.3,4,4.0706666827586435
バインミーパテ ベトナムサンドイッチ,神奈川県,2024-06-19,4.5,63,3.7496784491660033
Mitra Vietnamese,神奈川県,2024-06-19,4.2,63,3.7163551453419736
Bánh mì Bà Ba Shonantsujido,神奈川県,2024-06-19,0.0,0,0.0
BUY ME STAND MOTOMACHI × 405FACTORY,神奈川県,2024-06-19,4.2,244,4.219685182466163
CO BAY,神奈川県,2024-06-19,4.6,66,3.7595258035439687
ベトナム料理酒場 シクロ 横浜桜木町店,神奈川県,2024-06-19,4.2,163,3.878229354159151
ゴンゴン,神奈川県,2024-06-19,4.9,101,3.8582345311071826
湘南バインミーAZ（アズ）,神奈川県,2024-06-19,4.3,41,3.7823380558048947
グエン バインミー ( NGUYỄN BÁNH MÌ ),神奈川県,2024-06-19,5.0,5,4.059458942687666
Phở MQS(フォーMQS),神奈川県,2024-06-19,4.5,74,3.7466064293437165
CAFÉ GIẢNG,神奈川県,2024-06-19,4.2,410,5.055446582824442
新潟バインミーサンドイッチ Vui x gioia,新潟県,2024-06-19,3.6,51,3.691055977043902
ローアンプラー,新潟県,2024-06-19,4.3,43,3.7747833534059656
ベトナム喫茶店カフェフィン,新潟県,2024-06-19,4.7,97,3.8087628022895155
VIETNAM’S KITCHEN,富山県,2024-06-19,4.2,56,3.729189784635493
ティエン・コム・ベトナム,富山県,2024-06-19,4.3,227,4.189973510855328
Bếp Của Mẹ ベトナム料理専門店,富山県,2024-06-19,4.3,57,3.736796002451185
ベトナム料理•雑貨•ファッション アオザイ,富山県,2024-06-19,2.8,57,3.5904323249672534
とべーぐる富山店,富山県,2024-06-19,4.2,73,3.706239838642886
タンロンレストラン,富山県,2024-06-19,4.0,78,3.6752599829665353
サンドイッチストーリー E・M,富山県,2024-06-19,4.2,25,3.8635549947435446
ベトナムカフェ 1992’s バインミー&ドリンク,富山県,2024-06-19,4.5,48,3.773924982755282
BetoFumi-駐車場,石川県,2024-06-19,4.3,3,4.084602674669183
Betofumi (ベト風味)-ベトナムカフェ,石川県,2024-06-19,4.9,132,3.9724639049489125
Ha Noi Pho,石川県,2024-06-19,4.4,37,3.804750879090848
Quan an Vietnam ムサク☆,石川県,2024-06-19,4.2,115,3.7416161247638646
FOODVn - X3,石川県,2024-06-19,4.8,480,5.996336081694891
ベトナム食材 アンの店,石川県,2024-06-19,4.6,7,4.03356587457942
そみちゃん ベトナムレストラン,石川県,2024-06-19,4.2,35,3.8036169698041844
べっからいあいんしゅりっと Bäckerei Ein Schritt,石川県,2024-06-19,4.1,91,3.6905516834441157
Shop Viet Nam Kanazawa,石川県,2024-06-19,3.6,10,3.9913888010332075
パン工房バビロン,石川県,2024-06-19,4.2,153,3.844056596844121
バター レバー バインミー,石川県,2024-06-19,4.3,100,3.7368561299110423
越麺屋,福井県,2024-06-19,3.9,277,4.200280498307454
ハピリン,福井県,2024-06-19,3.7,2374,11.14108836953048
昆布屋孫兵衛,福井県,2024-06-19,3.9,87,3.6557601064566043
Bánh mì Sài Gòn バィンミーサイゴン,岐阜県,2024-06-19,4.9,12,3.982841946191885
西武福井店,福井県,2024-06-19,3.6,1683,9.014864749503293
ベトナム食材専門店（Bách Hoá Việt Yamanashi）Thực phẩm,山梨県,2024-06-19,4.3,23,3.880792548341824
Góc Việt Nam,山梨県,2024-06-19,0.0,0,0.0
ずんちゃんパン店,山梨県,2024-06-19,4.4,300,4.62061907057627
甲斐の味くらべ,山梨県,2024-06-19,3.0,22,3.853557248294273
ひかり珈琲店,山梨県,2024-06-19,3.9,222,3.9752603547744427
evam eva yamanashi,山梨県,2024-06-19,4.5,174,4.029645715324275
氷華,山梨県,2024-06-19,4.7,276,4.669399178736459
金精軒 本店,山梨県,2024-06-19,4.0,140,3.7452463297262666
ミーヤベーグル,長野県,2024-06-19,4.3,68,3.7224185795826426
オールドサイゴン,長野県,2024-06-19,4.3,100,3.7368561299110423
Điểm Hẹn Nagano ベトナム料理 ( Quán việt NAGANO),長野県,2024-06-19,4.3,38,3.794800368658394
築地銀だこ,長野県,2024-06-19,3.0,27,3.807422586305656
KITCHEN 365,長野県,2024-06-19,4.0,79,3.6746571502465706
MIDORI 長野,長野県,2024-06-19,3.9,2295,11.510227861290009
ビベト,長野県,2024-06-19,4.3,67,3.723239942702374
UNJAUNE HAKUBA,長野県,2024-06-19,4.5,224,4.2721392512721845
MOCPHO/モックフォー上田店,長野県,2024-06-19,4.5,62,3.7505236293402704
Cửa hàng Việt Nam yamagatashi-gifu,岐阜県,2024-06-19,0.0,0,0.0
ベトナム料理フォークチ,岐阜県,2024-06-19,4.3,253,4.316651543402421
Hanoi,静岡県,2024-06-19,3.9,93,3.655483943582949
ベトナム料理タンフン,静岡県,2024-06-19,4.5,265,4.49061935119878
ベトナム料理サイゴン,静岡県,2024-06-19,4.1,296,4.409304663581379
バインミーゴンゴン 浜松店,静岡県,2024-06-19,4.1,81,3.6889379469564663
ボンフレール,静岡県,2024-06-19,4.4,16,3.9392725705299965
アオサンズ,愛知県,2024-06-19,4.4,173,3.988367911787791
BANH MI XIN CHAO NAGOYA,愛知県,2024-06-19,4.2,161,3.8712004567831197
バインミー専門店NAMDINH(ナムディン),愛知県,2024-06-19,0.0,0,0.0
BEP VIET ベトナムキッチン,愛知県,2024-06-19,4.0,447,5.063515447753083
Nha Viet Nam 名古屋店,愛知県,2024-06-19,3.5,265,3.9215651860338774
VIN BUFFET&CAFE,愛知県,2024-06-19,4.1,57,3.7172808454533275
UMASO,愛知県,2024-06-19,4.4,55,3.7500780832277973
Nhà hàng Việt Nam - PAMI HAMI,愛知県,2024-06-19,4.6,30,3.84765061826705
ベトナムデリ珈琲 瀬戸本店,愛知県,2024-06-19,4.2,90,3.7074708953333313
LONG NHI QUAN スーパー,愛知県,2024-06-19,4.2,19,3.909543419047603
NANG HARERUYA 晴れる屋,愛知県,2024-06-19,4.6,44,3.7920099865807892
Vietnamese food shops,愛知県,2024-06-19,4.6,5,4.05822276090372
ベトナムマーケット,愛知県,2024-06-19,3.7,3,4.083733562832537
フォーゴン 大須店,愛知県,2024-06-19,3.8,157,3.7248366503693573
